service,raw,expected,fsr
google_cloud_dns,1319.8842000000002,2.6397684000000003,0.6153846153846154
cloud_cdn,1205.5380000000002,3.6166140000000007,0.5384615384615384
cloud_load_balancing,1241.28,4.96512,0.46153846153846156
google_app_engine,1118.2,11.182,0.38461538461538464
apigee,0.0,0.0,0.0
cloud_functions,0.0,0.0,0.0
dataflow,0.0,0.0,0.0
api_gateway,0.0,0.0,0.0
api_gateway_read,0.0,0.0,0.0
google_cloud_pub_sub,455.20000000000005,3.1864000000000003,0.07692307692307693
cloud_memorystore,506.0,6.072,0.23076923076923078
cloud_sql,782.15,3.1286,0.23076923076923078
cloud_sql_read_replica,362.45,1.08735,0.15384615384615385
cloud_storage,483.65,1.45095,0.07692307692307693
