service,direct_failures,cascaded_failures,total_failures,lambda_observed,mttr_observed
cloud_dns,2,0,2,0.002,45.0
cdn_edge,4,0,4,0.004,40.0
global_load_balancer,5,0,5,0.005,60.0
web_server_tier,5,0,5,0.005,120.0
category_service,8,0,8,0.008,150.0
budget_service,10,0,10,0.01,150.0
notification_service,7,0,7,0.007,110.0
transaction_extraction_service,12,0,12,0.012,160.0
message_queue,7,0,7,0.007,140.0
accounts_api,9,0,9,0.009,160.0
read_api,10,0,10,0.01,140.0
memory_cache,23,0,23,0.023,90.0
sql_primary_write_db,3,0,3,0.003,420.0
sql_read_replicas,8,0,8,0.008,220.0
object_storage,8,0,8,0.008,200.0
