source,target,probability
cloud_cdn,google_cloud_dns,1.00
cloud_load_balancing,cloud_cdn,1.00
google_app_engine,cloud_load_balancing,1.00
apigee,google_app_engine,0.84
cloud_functions,google_app_engine,0.84
dataflow,google_app_engine,0.90
api_gateway,google_app_engine,0.96
api_gateway_read,google_app_engine,0.90
apigee,cloud_memorystore,0.78
apigee,cloud_sql_read_replica,0.84
cloud_functions,cloud_sql,0.90
dataflow,google_cloud_pub_sub,0.96
dataflow,cloud_storage,1.00
dataflow,cloud_sql,0.84
api_gateway,cloud_memorystore,0.96
api_gateway,cloud_sql,1.00
api_gateway_read,cloud_memorystore,0.96
api_gateway_read,cloud_sql_read_replica,1.00
