source,target,probability
cloud_cdn,google_cloud_dns,0.63
cloud_load_balancing,cloud_cdn,0.60
google_app_engine,cloud_load_balancing,0.63
apigee,google_app_engine,0.49
cloud_functions,google_app_engine,0.49
dataflow,google_app_engine,0.53
api_gateway,google_app_engine,0.56
api_gateway_read,google_app_engine,0.53
apigee,cloud_memorystore,0.46
apigee,cloud_sql_read_replica,0.49
cloud_functions,cloud_sql,0.53
dataflow,google_cloud_pub_sub,0.56
dataflow,cloud_storage,0.60
dataflow,cloud_sql,0.49
api_gateway,cloud_memorystore,0.56
api_gateway,cloud_sql,0.63
api_gateway_read,cloud_memorystore,0.56
api_gateway_read,cloud_sql_read_replica,0.60
